   196	1 2.822300 633.022250 179.659213
   197	1 2.827660 669.209673 157.573645
   198	1 2.828142 669.236076 236.245188
   199	1 2.830940 741.477185 228.024358
   200	1 2.831213 626.814033 214.387917
   201	1 2.832646 674.867904 347.002911
   202	1 2.835853 663.255071 254.457002
   203	1 2.838287 657.057775 157.092557
   204	1 2.838287 657.470026 147.561304
   205	1 2.842646 645.441291 345.153944
   206	1 2.847667 740.680866 362.178004
   207	1 2.847675 675.445636 304.717222
   208	1 2.849979 644.935136 70.791001
   209	1 2.849979 645.149571 76.511543
   210	1 2.850030 662.853312 119.732177
   211	1 2.850030 663.365617 125.452719
   212	1 2.850713 645.188068 28.386306
   213	1 2.851043 603.113072 135.193962
   214	1 2.851451 669.079166 129.725818
   215	1 2.854856 747.471004 318.721445
   216	1 2.855145 638.566305 229.535842
   217	1 2.858511 638.540721 8.053363
   218	1 2.861549 722.638592 350.524085
   219	1 2.861549 723.388373 339.161855
   220	1 2.861656 710.784956 331.653607
   221	1 2.862885 614.887511 295.506061
   222	1 2.862885 615.473978 287.690738
   223	1 2.865404 723.023060 258.836974
   224	1 2.866730 650.695707 9.904442
   225	1 2.866917 639.362944 171.274387
   226	1 2.868835 632.886987 52.035227
   227	1 2.869044 626.933022 5.529040
   228	1 2.869167 614.996365 92.378749
   229	1 2.874598 615.485329 234.169809
   230	1 2.878159 698.577287 229.143389
   231	1 2.879347 693.201704 225.696311
   232	1 2.886156 602.815401 179.446306
   233	1 2.889492 608.789851 177.670076
   234	1 2.890185 705.459540 60.416223
   235	1 2.890759 651.257398 184.430999
   236	1 2.891721 650.892811 57.784946
   237	1 2.892972 603.318289 46.066284
   238	1 2.892996 728.990923 199.085298
   239	1 2.893490 608.951347 266.041866
   240	1 2.895216 644.511487 272.932338
   241	1 2.895216 644.798439 267.211797
   242	1 2.898225 638.605483 310.394190
   243	1 2.898617 644.915103 98.227614
   244	1 2.898926 722.933068 75.269872
   245	1 2.899982 645.074642 230.596853
   246	1 2.902439 717.164472 207.596886
   247	1 2.902439 717.318791 196.234656
   248	1 2.902869 662.560813 284.788838
   249	1 2.907920 741.294125 161.967537
   250	1 2.909280 717.143775 256.588550
   251	1 2.911272 638.785680 366.204980
   252	1 2.912305 693.209789 267.591119
   253	1 2.915382 729.250233 233.728121
   254	1 2.915382 729.392846 212.834638
   255	1 2.923216 668.966912 19.406706
   256	1 2.923271 704.802844 289.781659
   257	1 2.924902 699.275225 268.658651
   258	1 2.925771 680.633517 175.454354
   259	1 2.926994 699.473210 61.685964
   260	1 2.929186 627.442421 122.929561
